Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C5,C7,C8,C18,C20,C23,C25",Capacitor_SMD:C_0805_2012Metric,C307360
22pF,"C9,C10,C16,C21",Capacitor_SMD:C_0805_2012Metric,C105623
22PF,"C15,C22",Capacitor_SMD:C_0805_2012Metric,C105623
10uF/16V,"C17,C24",Capacitor_SMD:CP_Elec_4x5.7,C336586
10uF,"C3,C4,C11,C12,C13,C14",Capacitor_SMD:C_0805_2012Metric,C187926
100uF/16V,"C6,C19,C26",Capacitor_SMD:CP_Elec_6.3x7.7,C5155339
LEDO,D1,Diode_SMD:D_0805_2012Metric_Castellated,C84256
1N5817,D2,Diode_SMD:D_SOD-123,C727113
LEDR,D3,Diode_SMD:D_0805_2012Metric_Castellated,C84256
USB_B_Mini,J1,Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal,C3039330
100uH,"L1,L2",Inductor_SMD:L_0805_2012Metric,C223143
100uH,L3,ADX_FOOTPRINT_LIBRARY:L_Bourns-SRN8040_8x8.15mm-MOD,C11036
10k,R1,Resistor_SMD:R_0805_2012Metric,C510098
1M,"R2,R4",Resistor_SMD:R_0805_2012Metric,C416080
330 ohm,R3,Resistor_SMD:R_0805_2012Metric,C881004
1.5k,R5,Resistor_SMD:R_0805_2012Metric,C114555
1k,R6,Resistor_SMD:R_0805_2012Metric,C218388
ATMEGA328P-AU-L,U1,Package_QFP:TQFP-32_7x7mm_P0.8mm,C14877
SL2.1A,U2,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C192893
CM108AH,U3,Package_QFP:LQFP-48_7x7mm_P0.5mm,C371346
CH340G,U4,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C14267
16Mhz,Y1,Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C13738
12Mhz,"Y2,Y3,Y4",Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C9002
